BoxType,center,normal,top,h,w,t
Emitter,"(-182.42640687119285, 42.42640687119285, -490.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, -470.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, -450.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, -430.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, -410.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, -390.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, -370.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, -350.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, -330.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, -310.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, -290.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, -270.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, -250.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, -230.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, -210.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, -190.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, -170.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, -150.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, -130.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, -110.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, -90.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, -70.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, -50.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, -30.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, -10.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, 10.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, 30.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, 50.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, 70.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, 90.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, 110.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, 130.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, 150.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, 170.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, 190.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, 210.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, 230.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, 250.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, 270.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, 290.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, 310.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, 330.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, 350.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, 370.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, 390.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, 410.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, 430.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, 450.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, 470.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
