BoxType,center,normal,top,h,w,t
Emitter,"(-145.88190451025207, 96.59258262890683, -590.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, -570.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, -550.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, -530.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, -510.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, -490.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, -470.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, -450.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, -430.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, -410.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, -390.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, -370.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, -350.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, -330.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, -310.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, -290.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, -270.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, -250.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, -230.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, -210.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, -190.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, -170.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, -150.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, -130.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, -110.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, -90.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, -70.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, -50.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, -30.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, -10.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, 10.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, 30.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, 50.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, 70.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, 90.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, 110.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, 130.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, 150.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, 170.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, 190.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, 210.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, 230.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, 250.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, 270.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, 290.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, 310.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, 330.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, 350.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, 370.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, 390.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, 410.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, 430.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, 450.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, 470.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, 490.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, 510.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, 530.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, 550.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, 570.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-145.88190451025207, 96.59258262890683, 590.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, -590.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, -570.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, -550.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, -530.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, -510.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, -490.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, -470.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, -450.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, -430.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, -410.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, -390.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, -370.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, -350.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, -330.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, -310.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, -290.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, -270.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, -250.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, -230.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, -210.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, -190.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, -170.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, -150.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, -130.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, -110.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, -90.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, -70.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, -50.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, -30.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, -10.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, 10.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, 30.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, 50.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, 70.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, 90.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, 110.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, 130.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, 150.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, 170.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, 190.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, 210.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, 230.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, 250.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, 270.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, 290.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, 310.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, 330.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, 350.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, 370.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, 390.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, 410.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, 430.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, 450.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, 470.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, 490.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, 510.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, 530.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, 550.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, 570.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-140.70552360820164, 77.27406610312546, 590.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-135.52914270615125, 57.9555495773441, -590.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
Emitter,"(-135.52914270615125, 57.9555495773441, -570.0)","(0.9659258262890683, 0.25881904510252074, 0.0)",,10,10,0
