System_geom,1200,1200,400
#Detector,center,normal,top,h,w,t
Detector,"(367.500000, 990.500000, 75.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(367.500000, 990.500000, 25.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(432.500000, 1009.500000, 225.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(432.500000, 1009.500000, 275.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(432.500000, 1009.500000, 325.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(432.500000, 1009.500000, 375.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(367.500000, 990.500000, 225.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(367.500000, 990.500000, 275.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(367.500000, 990.500000, 325.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(367.500000, 990.500000, 375.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(832.500000, 609.500000, 175.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(832.500000, 609.500000, 125.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(832.500000, 609.500000, 75.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(832.500000, 609.500000, 25.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(767.500000, 590.500000, 175.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(767.500000, 590.500000, 125.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(767.500000, 590.500000, 75.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(767.500000, 590.500000, 25.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(832.500000, 609.500000, 225.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(832.500000, 609.500000, 275.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(832.500000, 609.500000, 325.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(832.500000, 609.500000, 375.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(767.500000, 590.500000, 225.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(767.500000, 590.500000, 275.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(767.500000, 590.500000, 325.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(767.500000, 590.500000, 375.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(832.500000, 1009.500000, 175.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(832.500000, 1009.500000, 125.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(832.500000, 1009.500000, 75.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(832.500000, 1009.500000, 25.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(767.500000, 990.500000, 175.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
