System_geom,1200,1200,400
#Detector,center,normal,top,h,w,t
Pt,"(931.708582, 565.495874, 70.857084)"
Pt,"(403.195192, 68.102237, 289.264422)"
Pt,"(671.163339, 815.128376, 209.280987)"
Pt,"(135.484166, 803.358752, 290.633148)"
Pt,"(1067.149096, 114.088602, 235.887799)"
Pt,"(63.724540, 151.582614, 280.614519)"
Pt,"(998.133749, 677.850703, 235.769363)"
Pt,"(54.195039, 1110.516777, 99.568870)"
Pt,"(303.144755, 804.197219, 245.271103)"
Pt,"(357.826000, 372.170483, 267.068953)"
Pt,"(753.442223, 249.124487, 223.562098)"
Pt,"(30.792888, 134.773257, 337.980068)"
Pt,"(663.088323, 224.712072, 253.030050)"
Pt,"(226.287533, 801.798537, 133.665693)"
Pt,"(70.168335, 210.224009, 119.523172)"
Pt,"(582.818985, 478.506402, 368.264173)"
Pt,"(88.808443, 791.565093, 201.843530)"
Pt,"(878.734634, 334.928563, 27.527706)"
Pt,"(1181.459432, 267.079645, 173.819380)"
Pt,"(311.247034, 931.420098, 12.903153)"
Pt,"(757.280508, 224.619001, 327.286657)"
Pt,"(1117.725267, 1066.912760, 302.753771)"
Pt,"(673.107776, 145.766931, 345.276258)"
Pt,"(317.332897, 494.800018, 217.379928)"
Pt,"(222.236398, 603.842451, 215.076806)"
Pt,"(332.092187, 985.478456, 323.239060)"
Pt,"(651.666765, 0.302570, 186.503825)"
Pt,"(502.889824, 590.822003, 288.987874)"
Pt,"(957.186473, 437.912055, 338.338630)"
Pt,"(297.777262, 902.363055, 377.235024)"
Pt,"(540.791680, 627.571817, 22.134028)"
Pt,"(935.488310, 923.009523, 85.937193)"
Pt,"(825.652011, 177.313492, 392.950385)"
Pt,"(396.446361, 1147.701092, 231.549844)"
Pt,"(318.114514, 1069.340131, 238.819182)"
Pt,"(240.346929, 952.000554, 261.566875)"
Pt,"(746.323206, 586.669560, 252.411976)"
Pt,"(319.427349, 244.227054, 269.317694)"
Pt,"(1160.725697, 107.075714, 101.687334)"
Pt,"(840.538797, 1146.705709, 382.194735)"
Pt,"(330.966028, 1067.685681, 148.477005)"
Pt,"(1124.030623, 339.078414, 148.418640)"
Pt,"(6.863908, 28.733323, 140.419950)"
Pt,"(219.798556, 49.682623, 234.701729)"
Pt,"(1136.395077, 410.997879, 163.535381)"
Pt,"(783.187264, 702.805247, 187.022145)"
Pt,"(458.190117, 88.250430, 116.681316)"
Pt,"(76.303566, 54.784863, 206.501602)"
Pt,"(205.666450, 192.531472, 235.359105)"
Pt,"(352.037738, 10.681516, 151.995721)"
Pt,"(209.390840, 665.067773, 194.130260)"
Pt,"(104.570304, 457.882904, 374.563616)"
Pt,"(687.618986, 1139.287156, 176.895097)"
Pt,"(893.807671, 726.870001, 149.828124)"
Pt,"(638.035282, 789.393398, 111.090196)"
Pt,"(909.506915, 1122.408060, 54.502897)"
Pt,"(1031.298294, 1098.845374, 78.857881)"
Pt,"(246.960061, 713.134650, 220.591036)"
Pt,"(1077.690968, 0.546202, 82.721144)"
Pt,"(220.463036, 654.768499, 303.711287)"
Pt,"(595.937540, 468.501336, 334.619034)"
Pt,"(42.117913, 202.872607, 166.419432)"
Pt,"(770.524031, 350.723359, 28.348660)"
Pt,"(84.297689, 294.140764, 350.433339)"
Pt,"(942.529805, 41.513085, 291.418458)"
Pt,"(620.046558, 546.111067, 163.229582)"
Pt,"(720.139708, 115.529742, 398.178531)"
Pt,"(132.865722, 396.539800, 211.777779)"
Pt,"(464.985491, 823.899630, 97.178879)"
Pt,"(1107.750778, 809.358715, 364.274189)"
Pt,"(274.767313, 642.934945, 144.384111)"
Pt,"(304.600872, 393.292208, 115.568013)"
Pt,"(893.294995, 62.391819, 317.515908)"
Pt,"(392.789120, 948.847622, 70.083757)"
Pt,"(695.838781, 69.206884, 131.497216)"
Pt,"(943.895195, 847.556464, 300.951783)"
Pt,"(1134.100968, 604.127560, 116.727561)"
Pt,"(77.060234, 747.242517, 50.746340)"
Pt,"(845.296328, 606.569355, 166.868489)"
Pt,"(1162.398836, 659.903503, 110.822228)"
Pt,"(263.567153, 967.952461, 87.357488)"
Pt,"(998.259530, 580.653397, 371.168812)"
Pt,"(753.353556, 218.216312, 124.891873)"
Pt,"(492.438885, 1042.086548, 212.216480)"
Pt,"(192.675447, 990.909199, 240.184678)"
Pt,"(333.716716, 926.675758, 237.982663)"
Pt,"(427.652880, 142.533217, 334.073933)"
Pt,"(236.717042, 190.272146, 252.465183)"
Pt,"(928.390865, 361.348048, 11.910206)"
Pt,"(94.859355, 914.955795, 87.099840)"
Pt,"(1025.504713, 916.391190, 184.676649)"
Pt,"(997.332021, 1060.765290, 165.980651)"
Pt,"(368.230109, 741.654655, 94.048973)"
Pt,"(774.185715, 13.158153, 176.959977)"
Pt,"(691.959751, 40.768223, 58.065529)"
Pt,"(845.950988, 41.913827, 289.080791)"
Pt,"(631.880707, 525.194386, 191.521322)"
Pt,"(538.278545, 115.896855, 339.677298)"
Pt,"(772.370032, 1056.299682, 371.874666)"
Pt,"(965.473640, 887.766050, 210.550102)"
Pt,"(591.459297, 1119.458525, 70.995844)"
Pt,"(385.066852, 378.741970, 236.196053)"
Pt,"(391.536003, 660.505880, 249.446527)"
Pt,"(106.055686, 521.604846, 67.911229)"
Pt,"(1157.140448, 1078.918069, 355.341898)"
Pt,"(403.129663, 276.110800, 11.145612)"
Pt,"(1177.381024, 334.552810, 116.475252)"
Pt,"(653.795572, 101.532319, 348.759490)"
Pt,"(347.982731, 420.185452, 253.448638)"
Pt,"(961.008752, 1029.365723, 217.096185)"
Pt,"(596.280323, 116.568237, 171.421814)"
Pt,"(885.305998, 993.582750, 378.471386)"
Pt,"(735.145546, 182.095702, 145.368635)"
Pt,"(226.940445, 635.979132, 47.591192)"
Pt,"(803.699864, 1171.043465, 232.372074)"
Pt,"(1162.821487, 894.582845, 57.996220)"
Pt,"(1167.783199, 857.671023, 101.669998)"
Pt,"(8.031939, 272.333074, 177.076465)"
Pt,"(1173.786087, 190.166395, 317.392787)"
Pt,"(969.193195, 277.510380, 270.137043)"
Pt,"(689.139505, 80.895695, 221.442521)"
Pt,"(557.723562, 651.861095, 227.669374)"
Pt,"(199.720433, 860.347272, 381.259315)"
Pt,"(808.690197, 1071.173129, 270.057712)"
Pt,"(638.013776, 656.947067, 248.545915)"
Pt,"(68.018091, 313.954578, 316.384960)"
Pt,"(1096.666581, 445.413359, 314.300071)"
Pt,"(707.911209, 29.561636, 337.490028)"
Pt,"(1008.597266, 151.110593, 129.261622)"
Pt,"(365.109286, 1115.065525, 64.262551)"
Pt,"(729.932230, 957.092227, 11.269538)"
Pt,"(634.874703, 505.987801, 317.880832)"
Pt,"(1162.120338, 1069.869117, 154.394988)"
Pt,"(1053.905647, 808.030164, 189.374450)"
Pt,"(773.918191, 1098.566958, 203.431456)"
Pt,"(455.186038, 684.701710, 208.617765)"
Pt,"(32.981691, 383.605554, 85.045258)"
Pt,"(880.930037, 395.321233, 196.647884)"
Pt,"(665.687337, 1049.094745, 298.032681)"
Pt,"(468.320923, 713.107271, 134.117229)"
Pt,"(158.295959, 211.261814, 249.171370)"
Pt,"(929.429078, 1103.247034, 264.535791)"
Pt,"(206.871111, 1081.103909, 37.372685)"
Pt,"(246.513725, 1028.249775, 317.306793)"
Pt,"(922.145818, 50.501439, 3.778141)"
Pt,"(308.338938, 304.150889, 212.439000)"
Pt,"(485.837042, 674.476734, 303.617568)"
Pt,"(463.788738, 274.802708, 261.277321)"
Pt,"(490.947524, 194.993651, 4.649271)"
Pt,"(695.848432, 598.522229, 121.114871)"
Pt,"(10.829803, 532.830774, 245.273258)"
Pt,"(829.029498, 570.211633, 225.470904)"
Pt,"(649.661363, 332.840813, 391.008831)"
Pt,"(282.476924, 579.336135, 22.919847)"
Pt,"(35.841723, 807.803341, 108.424364)"
Pt,"(760.679859, 65.751069, 211.277096)"
Pt,"(86.160061, 466.959264, 335.212350)"
Pt,"(722.328255, 133.990305, 208.727561)"
Pt,"(542.513572, 851.051728, 120.989348)"
Pt,"(542.092882, 1031.596966, 38.497288)"
Pt,"(609.093560, 773.053670, 124.292463)"
Pt,"(239.035067, 302.167709, 47.622701)"
Pt,"(264.555570, 67.930784, 298.858437)"
Pt,"(1199.829138, 1167.389336, 265.696897)"
Pt,"(662.701960, 1141.234181, 73.736836)"
Pt,"(542.264082, 255.700630, 83.349225)"
Pt,"(436.392278, 897.497915, 346.266773)"
Pt,"(187.850602, 38.681218, 43.382000)"
Pt,"(664.177442, 589.876735, 311.522647)"
Pt,"(511.555927, 1092.431030, 134.935542)"
Pt,"(1071.441329, 539.147937, 135.742022)"
Pt,"(529.993118, 334.531381, 172.415714)"
Pt,"(1052.213708, 525.442767, 104.766341)"
Pt,"(173.555890, 1044.067529, 31.330755)"
Pt,"(444.805260, 812.061829, 137.393664)"
Pt,"(940.976611, 808.993754, 193.544283)"
Pt,"(169.803459, 1072.788305, 199.847379)"
Pt,"(531.413299, 470.422995, 91.409584)"
Pt,"(490.835257, 1071.850871, 133.376895)"
Pt,"(40.071316, 381.550580, 100.501382)"
Pt,"(960.773864, 1067.284232, 270.738136)"
Pt,"(67.074968, 834.668516, 161.347311)"
Pt,"(709.597435, 42.054819, 345.068023)"
Pt,"(1169.743178, 484.572236, 351.218189)"
Pt,"(1086.823145, 524.582790, 148.765429)"
Pt,"(1104.815211, 410.716961, 391.164575)"
Pt,"(744.896499, 219.824476, 356.667288)"
Pt,"(315.756250, 330.240320, 41.846494)"
Pt,"(1039.723086, 583.529630, 14.912000)"
Pt,"(696.841365, 1025.265033, 122.186967)"
Pt,"(270.120477, 112.557994, 207.610432)"
Pt,"(968.281745, 1012.386312, 276.451771)"
Pt,"(112.193621, 535.008694, 340.042576)"
Pt,"(14.187382, 833.189470, 313.618742)"
Pt,"(311.188757, 958.018185, 168.656839)"
Pt,"(374.185953, 942.586493, 37.809483)"
Pt,"(178.453906, 88.382341, 297.642727)"
Pt,"(559.418255, 185.434308, 267.892062)"
Pt,"(721.585226, 762.822201, 350.385430)"
Pt,"(982.377625, 896.480684, 269.419343)"
Pt,"(538.114675, 1069.287392, 347.506338)"
Pt,"(239.899355, 1144.939168, 310.388824)"
Pt,"(313.423299, 683.703394, 77.207137)"
Pt,"(325.992460, 841.913896, 176.649118)"
Pt,"(1077.641865, 34.150605, 289.565848)"
Pt,"(462.065424, 536.048657, 83.489748)"
Pt,"(604.859541, 637.492612, 335.285823)"
Pt,"(180.977734, 745.668431, 4.985932)"
Pt,"(285.655669, 820.381619, 206.572038)"
Pt,"(333.143251, 999.668686, 335.982511)"
Pt,"(7.935775, 174.797951, 225.095143)"
Pt,"(1055.302413, 346.159270, 35.287033)"
Pt,"(1005.622993, 540.477485, 69.997551)"
Pt,"(781.079689, 124.665635, 322.074160)"
Pt,"(458.455110, 944.075960, 374.524197)"
Pt,"(1083.140776, 769.750149, 352.795173)"
Pt,"(183.788310, 125.105863, 143.360677)"
Pt,"(970.169139, 180.622340, 105.254563)"
Pt,"(279.365356, 443.357347, 283.184109)"
Pt,"(1041.806835, 326.366447, 219.200549)"
Pt,"(3.736503, 323.175136, 80.297722)"
Pt,"(928.814388, 915.521903, 241.594208)"
Pt,"(493.272229, 121.657884, 277.164593)"
Pt,"(895.007764, 1014.009495, 133.623579)"
Pt,"(647.968734, 1082.557147, 35.321309)"
Pt,"(1067.383865, 37.161709, 347.876746)"
Pt,"(20.846680, 64.120947, 160.594721)"
Pt,"(1192.630626, 643.099563, 156.565887)"
Pt,"(492.892213, 675.249564, 351.997453)"
Pt,"(411.308636, 575.046662, 148.958254)"
Pt,"(323.835131, 1086.365318, 293.982872)"
Pt,"(992.815071, 606.490585, 186.483966)"
Pt,"(457.810055, 980.703705, 105.625360)"
Pt,"(377.909685, 130.173732, 111.905127)"
Pt,"(958.695884, 983.201149, 375.576587)"
Pt,"(172.143711, 525.376472, 375.593421)"
Pt,"(1072.002987, 580.731953, 195.944482)"
Pt,"(1082.732629, 185.572736, 341.940512)"
Pt,"(626.833181, 428.013204, 264.042248)"
Pt,"(218.563942, 883.790428, 196.942386)"
Pt,"(370.904492, 543.014137, 214.550145)"
Pt,"(0.262212, 239.076221, 112.431375)"
Pt,"(176.014621, 1019.097552, 120.637340)"
Pt,"(665.808716, 785.140640, 70.937142)"
Pt,"(1096.782233, 328.230245, 326.209326)"
Pt,"(194.225985, 1123.160420, 205.865753)"
Pt,"(646.859472, 220.374224, 357.541002)"
Pt,"(1124.977721, 221.248599, 68.115049)"
Pt,"(762.837592, 7.038607, 94.605223)"
Pt,"(811.782301, 135.148472, 19.323530)"
Pt,"(1174.369612, 118.254600, 366.824628)"
Pt,"(196.888681, 215.720014, 124.904303)"
Pt,"(685.409957, 77.601113, 373.150727)"
Pt,"(724.035353, 461.007596, 272.874284)"
Pt,"(616.074501, 363.544844, 264.476661)"
Pt,"(859.272523, 270.560279, 58.568888)"
Pt,"(682.963454, 364.494800, 383.782678)"
Pt,"(71.595094, 149.498323, 332.651867)"
Pt,"(596.050451, 532.763824, 142.261323)"
Pt,"(493.646808, 492.877727, 21.859905)"
Pt,"(972.892010, 834.857293, 378.565041)"
Pt,"(149.450917, 532.244032, 235.699552)"
Pt,"(159.042371, 668.659346, 381.320352)"
Pt,"(917.905934, 1070.464382, 268.321157)"
Pt,"(132.378252, 80.653860, 246.988827)"
Pt,"(1022.272183, 585.297937, 18.603412)"
Pt,"(581.652565, 445.743874, 240.177067)"
Pt,"(967.781368, 426.276781, 45.233050)"
Pt,"(92.311745, 6.007844, 371.449224)"
Pt,"(765.837683, 816.032672, 283.305490)"
Pt,"(419.669315, 905.245432, 3.896760)"
Pt,"(49.632163, 957.531539, 67.098903)"
Pt,"(638.319057, 666.492377, 341.501435)"
Pt,"(582.706208, 1179.195216, 342.466888)"
Pt,"(334.519076, 510.132670, 104.460024)"
Pt,"(1066.163832, 1163.569830, 6.442590)"
Pt,"(527.483670, 5.537120, 334.141727)"
Pt,"(396.479931, 901.452429, 349.597170)"
Pt,"(1067.987439, 430.794986, 244.638145)"
Pt,"(842.324181, 467.148035, 165.806117)"
Pt,"(359.774053, 75.323216, 237.014940)"
Pt,"(866.209948, 547.695870, 163.603730)"
Pt,"(271.112270, 795.323838, 335.413766)"
Pt,"(882.438135, 1012.198582, 6.634932)"
Pt,"(727.014686, 562.351536, 214.351358)"
Pt,"(1089.084552, 42.653032, 333.259698)"
Pt,"(126.450478, 0.619970, 162.743082)"
Pt,"(391.233039, 147.176723, 383.342955)"
Pt,"(976.803268, 671.036410, 376.038554)"
Pt,"(673.172713, 282.711367, 389.119252)"
Pt,"(1100.778488, 99.515245, 139.445950)"
Pt,"(292.380582, 403.300853, 141.000355)"
Pt,"(926.976279, 430.682959, 134.949705)"
Pt,"(941.685193, 878.528164, 226.843031)"
Pt,"(1176.530276, 879.710136, 239.915033)"
Pt,"(273.794256, 1112.169169, 225.995419)"
Pt,"(998.841243, 468.765430, 258.495454)"
Pt,"(673.794022, 879.433721, 13.257652)"
Pt,"(805.898034, 749.543097, 175.739004)"
Pt,"(967.269624, 413.531365, 212.906479)"
Pt,"(290.236428, 973.630519, 340.758765)"
Pt,"(650.244998, 968.477760, 33.882575)"
Pt,"(302.563119, 481.471703, 291.396988)"
Pt,"(8.158898, 979.087272, 398.852165)"
Pt,"(866.880513, 427.991739, 163.735708)"
Pt,"(1100.777138, 558.931687, 333.937079)"
Pt,"(1181.169011, 475.731423, 166.701472)"
Pt,"(592.273849, 26.269271, 31.587188)"
Pt,"(800.123919, 789.430058, 119.641653)"
Pt,"(1180.474798, 963.337840, 168.776737)"
Pt,"(57.418509, 525.354927, 149.863168)"
Pt,"(322.798144, 770.786386, 89.570875)"
Pt,"(1035.368027, 655.167880, 57.260208)"
Pt,"(146.905953, 438.000117, 77.296878)"
Pt,"(841.338084, 705.133976, 24.979675)"
Pt,"(703.451653, 666.654795, 330.402517)"
Pt,"(80.447860, 690.537737, 210.238685)"
Pt,"(852.678808, 923.440691, 308.037969)"
Pt,"(847.793453, 1001.453307, 336.531567)"
Pt,"(1090.009782, 602.136197, 137.975019)"
Pt,"(1198.779444, 786.635547, 232.592714)"
Pt,"(554.338808, 504.390388, 264.638329)"
Pt,"(1197.118723, 200.530624, 367.616012)"
Pt,"(1073.620743, 146.016524, 168.992634)"
Pt,"(1071.861512, 743.690099, 353.828226)"
Pt,"(1004.058914, 1002.814986, 142.650972)"
Pt,"(505.165290, 192.508679, 53.745999)"
Pt,"(453.701345, 743.547627, 322.871647)"
Pt,"(687.734645, 101.902404, 359.982773)"
Pt,"(398.198139, 115.765391, 121.863461)"
Pt,"(563.148535, 676.072491, 251.446309)"
Pt,"(854.403422, 1106.524440, 76.183941)"
Pt,"(878.155534, 949.592698, 299.301514)"
Pt,"(1063.864603, 1101.898268, 92.106991)"
Pt,"(274.060392, 562.567642, 154.578636)"
Pt,"(442.184054, 849.738193, 107.804221)"
Pt,"(914.204741, 1189.451817, 75.288307)"
Pt,"(597.362307, 1050.312108, 86.254901)"
Pt,"(1162.911301, 1012.335802, 321.091877)"
Pt,"(1116.633632, 510.855714, 42.349694)"
Pt,"(1195.751994, 732.524610, 41.278272)"
Pt,"(458.519463, 102.755293, 0.809874)"
Pt,"(584.245305, 1126.697340, 250.609219)"
Pt,"(84.152856, 256.370052, 163.404940)"
Pt,"(418.306243, 710.310014, 177.860558)"
Pt,"(302.049092, 221.923453, 239.141063)"
Pt,"(1093.085087, 133.442719, 398.010846)"
Pt,"(53.888961, 866.197065, 342.735754)"
Pt,"(363.457028, 521.801373, 378.846767)"
Pt,"(867.459939, 532.020061, 12.551705)"
Pt,"(1057.448533, 425.160115, 332.658069)"
Pt,"(1164.792547, 1196.891873, 295.790485)"
Pt,"(379.255014, 1080.170070, 156.295656)"
Pt,"(866.175771, 547.067404, 102.669169)"
Pt,"(644.656037, 259.254232, 356.219790)"
Pt,"(883.968525, 534.252653, 250.558226)"
Pt,"(163.234895, 469.600712, 103.583803)"
Pt,"(105.473622, 735.978259, 212.857919)"
Pt,"(492.427115, 325.662771, 356.039856)"
Pt,"(968.404702, 79.191840, 139.091878)"
Pt,"(1059.535971, 664.137065, 191.605214)"
Pt,"(1190.993740, 56.498740, 348.024685)"
Pt,"(462.609301, 829.979608, 319.264169)"
Pt,"(1088.652167, 753.465502, 96.737591)"
Pt,"(353.768991, 144.358957, 393.467054)"
Pt,"(594.289929, 736.693098, 221.184795)"
Pt,"(471.595084, 1048.829040, 346.840231)"
Pt,"(1181.668699, 550.321433, 103.624831)"
Pt,"(825.483678, 265.120774, 320.205466)"
Pt,"(6.017352, 219.632055, 365.184554)"
Pt,"(81.800021, 1136.559621, 278.940020)"
Pt,"(1078.987956, 159.325108, 101.327979)"
Pt,"(667.429339, 54.513219, 149.409225)"
Pt,"(1139.048537, 801.300506, 387.543994)"
Pt,"(841.043793, 1162.137731, 263.321164)"
Pt,"(110.894072, 489.640265, 318.185104)"
Pt,"(474.859617, 697.731590, 40.155426)"
Pt,"(232.864228, 398.351803, 118.944360)"
Pt,"(565.553993, 324.978239, 152.812679)"
Pt,"(79.847387, 688.624222, 182.834723)"
Pt,"(419.675015, 783.727410, 283.171261)"
Pt,"(241.075237, 1017.829452, 163.933879)"
Pt,"(1165.956704, 57.646269, 297.670541)"
Pt,"(328.470106, 559.452404, 89.820848)"
Pt,"(172.507096, 732.977045, 85.943902)"
Pt,"(878.051961, 407.781421, 296.164442)"
Pt,"(914.526922, 1055.922049, 391.453251)"
Pt,"(1041.153921, 1175.973530, 35.342422)"
Pt,"(306.667591, 153.220618, 30.611546)"
Pt,"(486.459553, 508.009900, 44.367497)"
Pt,"(10.290607, 759.508144, 330.160911)"
Pt,"(737.427623, 1132.050447, 164.071494)"
Pt,"(36.875256, 76.073321, 314.625730)"
Pt,"(1051.653337, 328.960662, 278.767856)"
Pt,"(943.172718, 979.864210, 153.601811)"
Pt,"(127.073544, 787.120558, 115.727061)"
Pt,"(282.491015, 903.894901, 77.221570)"
Pt,"(579.433163, 414.851695, 308.657043)"
Pt,"(693.577892, 64.302897, 239.437196)"
Pt,"(746.540893, 325.839117, 279.790323)"
Pt,"(388.919351, 1123.121642, 4.764435)"
Pt,"(915.478210, 484.251070, 268.903312)"
Pt,"(1177.833504, 864.440152, 209.206148)"
Pt,"(1040.019632, 300.074421, 96.109538)"
Pt,"(474.280646, 196.981049, 9.833676)"
Pt,"(296.602359, 1037.064509, 347.136071)"
Pt,"(287.646964, 1181.097368, 46.609898)"
Pt,"(406.418827, 493.159509, 217.896845)"
Pt,"(276.959841, 1021.128384, 187.930725)"
Pt,"(459.740798, 140.400762, 144.646676)"
Pt,"(629.850688, 1034.692872, 360.943969)"
Pt,"(342.106710, 1115.381936, 112.848689)"
Pt,"(978.586255, 872.727450, 309.718412)"
Pt,"(652.146655, 13.445693, 243.246525)"
Pt,"(674.017343, 924.238021, 378.283444)"
Pt,"(1045.562088, 928.644017, 393.155570)"
Pt,"(973.110738, 872.619620, 2.726430)"
Pt,"(1029.232947, 817.921178, 129.854877)"
Pt,"(923.693233, 158.252079, 376.611084)"
Pt,"(742.342370, 1137.291774, 323.722996)"
Pt,"(176.748835, 988.516303, 215.556036)"
Pt,"(46.780074, 898.407527, 167.642657)"
Pt,"(777.625631, 1168.888091, 4.527701)"
Pt,"(547.702713, 2.941809, 52.335492)"
Pt,"(1151.652985, 1106.066583, 178.081478)"
Pt,"(1094.898039, 1078.269585, 141.284164)"
Pt,"(773.311656, 959.767125, 16.883602)"
Pt,"(773.529375, 167.598173, 13.398209)"
Pt,"(667.983215, 1183.060918, 147.623197)"
Pt,"(157.176534, 967.105356, 398.462957)"
Pt,"(427.941806, 1069.946467, 312.438415)"
Pt,"(580.764866, 92.488069, 252.009213)"
Pt,"(1112.137983, 850.047941, 72.458246)"
Pt,"(485.335144, 387.017253, 19.502519)"
Pt,"(958.367205, 278.081119, 366.779815)"
Pt,"(480.884854, 903.266917, 213.874997)"
Pt,"(461.356323, 272.085252, 390.058589)"
Pt,"(1146.366406, 128.412296, 24.132910)"
Pt,"(849.003203, 764.536908, 31.502617)"
Pt,"(866.631493, 914.670110, 198.191714)"
Pt,"(319.713263, 374.209778, 258.854171)"
Pt,"(300.848540, 265.736146, 183.951980)"
Pt,"(747.234365, 286.636078, 68.659228)"
Pt,"(418.294590, 353.775693, 19.328420)"
Pt,"(280.629016, 906.872484, 55.154527)"
Pt,"(1012.224578, 703.021755, 362.159891)"
Pt,"(999.299110, 536.012742, 193.931701)"
Pt,"(319.362523, 1056.319802, 284.946445)"
Pt,"(231.347990, 850.051357, 218.349932)"
Pt,"(1125.320115, 254.015452, 136.025689)"
Pt,"(81.343734, 790.129466, 90.031472)"
Pt,"(1112.463002, 34.756411, 283.061789)"
Pt,"(32.472576, 877.849674, 231.515332)"
Pt,"(1194.957820, 775.913863, 227.967130)"
Pt,"(481.773677, 1125.517796, 345.213860)"
Pt,"(389.504406, 968.960908, 394.461016)"
Pt,"(515.097427, 406.853853, 10.336652)"
Pt,"(473.385524, 780.366476, 64.096384)"
Pt,"(516.174623, 741.244579, 96.218019)"
Pt,"(352.692902, 1153.774599, 115.908830)"
Pt,"(1087.569856, 900.621657, 274.328160)"
Pt,"(7.358187, 783.134797, 136.884593)"
Pt,"(192.573020, 365.281666, 348.607213)"
Pt,"(1083.678633, 389.430813, 43.658977)"
Pt,"(1064.833570, 717.173313, 196.925322)"
Pt,"(505.796020, 392.772098, 374.662034)"
Pt,"(186.818176, 779.525992, 255.839163)"
Pt,"(1032.507845, 640.219191, 238.676369)"
Pt,"(744.837176, 877.654735, 238.783329)"
Pt,"(1101.253105, 1102.365763, 154.090796)"
Pt,"(879.371435, 183.975394, 161.029631)"
Pt,"(956.528943, 137.200560, 21.449000)"
Pt,"(1120.571211, 228.131110, 326.375627)"
Pt,"(1090.726462, 493.335642, 24.814894)"
Pt,"(10.022841, 927.280691, 254.889244)"
Pt,"(773.443221, 115.784843, 6.093296)"
Pt,"(222.006217, 730.802117, 307.841567)"
Pt,"(236.978916, 544.147083, 273.110726)"
Pt,"(688.531532, 72.816117, 247.826082)"
Pt,"(0.803985, 349.797023, 389.534294)"
Pt,"(369.340044, 778.478888, 371.748092)"
Pt,"(429.346815, 116.618260, 263.556918)"
Pt,"(508.497278, 781.222299, 182.966849)"
Pt,"(823.492278, 311.052711, 322.028611)"
Pt,"(924.969009, 1116.492251, 252.088719)"
Pt,"(836.034608, 734.469209, 95.636501)"
Pt,"(424.090799, 479.098958, 218.125973)"
Pt,"(368.809780, 935.318806, 94.476392)"
Pt,"(463.327831, 10.050293, 97.538188)"
Pt,"(863.490236, 1166.198385, 219.896716)"
Pt,"(448.378614, 134.268944, 345.306924)"
Pt,"(475.471377, 627.568785, 278.331807)"
Pt,"(357.106670, 827.645667, 297.958610)"
Pt,"(777.249054, 556.006119, 33.518710)"
Pt,"(693.988307, 124.037478, 288.723845)"
Pt,"(485.304036, 117.059989, 55.596887)"
Pt,"(368.124415, 539.564167, 56.484656)"
Pt,"(71.944342, 733.004810, 374.399145)"
Pt,"(1044.305725, 273.455271, 97.556683)"
Pt,"(836.682345, 581.517679, 151.221860)"
Pt,"(314.743341, 1166.926113, 208.013590)"
Pt,"(1084.086817, 633.563977, 368.616921)"
Pt,"(956.097162, 858.836779, 111.818365)"
Pt,"(422.753510, 890.259214, 371.470104)"
Pt,"(5.037708, 399.368867, 82.528913)"
Pt,"(1078.388564, 651.495886, 192.039795)"
Pt,"(875.509464, 21.491245, 63.856993)"
Pt,"(413.620374, 45.053759, 250.218874)"
Pt,"(1052.261134, 839.333572, 295.981162)"
Pt,"(687.142326, 357.767150, 192.521169)"
Pt,"(461.693672, 614.068417, 365.121737)"
Pt,"(594.972064, 128.221907, 384.928234)"
Pt,"(369.477329, 190.273436, 40.899958)"
Pt,"(913.952200, 300.885732, 313.408704)"
Pt,"(497.392197, 351.736228, 68.440589)"
Pt,"(826.492929, 1189.575905, 39.111380)"
Pt,"(1168.780022, 592.010602, 244.857738)"
Pt,"(434.914885, 952.211778, 90.102244)"
Pt,"(943.022329, 664.648603, 98.227742)"
Pt,"(422.690918, 606.757258, 203.391805)"
Pt,"(39.563231, 307.962819, 396.418500)"
Pt,"(758.581331, 835.805037, 258.568488)"
Pt,"(1187.220133, 565.043145, 236.002618)"
Pt,"(1167.742469, 1140.821741, 113.924439)"
Pt,"(130.696304, 565.067294, 217.899192)"
Pt,"(194.004509, 366.936969, 227.642184)"
Pt,"(767.986363, 1198.786317, 265.555540)"
Pt,"(922.089651, 753.457937, 46.601841)"
Pt,"(753.826001, 956.655411, 81.608059)"
Pt,"(714.248293, 84.294962, 116.395220)"
Pt,"(1145.145593, 519.196378, 34.178426)"
Pt,"(52.899600, 1001.964868, 138.937757)"
Pt,"(606.136899, 531.435274, 289.638707)"
Pt,"(697.810397, 1070.978376, 77.055992)"
Pt,"(1027.481469, 671.790960, 281.378246)"
Pt,"(655.481127, 793.385188, 295.647219)"
Pt,"(1151.928597, 954.885111, 296.140515)"
Pt,"(564.238850, 868.291817, 36.252136)"
Pt,"(569.029806, 601.430176, 390.758882)"
Pt,"(508.941363, 46.837765, 313.373165)"
Pt,"(357.735685, 334.879337, 361.798234)"
Pt,"(897.837628, 755.999973, 312.537117)"
Pt,"(226.212971, 1150.733479, 21.331373)"
Pt,"(37.069855, 1132.411604, 205.335011)"
Pt,"(427.827814, 918.079403, 253.851114)"
Pt,"(59.554652, 340.917726, 55.744075)"
Pt,"(884.131572, 143.598863, 48.065367)"
Pt,"(874.437473, 655.857724, 109.707205)"
Pt,"(1004.601172, 912.145668, 43.190215)"
Pt,"(1180.301579, 518.530698, 66.545728)"
Pt,"(402.126461, 89.627964, 188.995137)"
